state,date,total_schools,total_population,schools_per_100k
Johor,1/1/2017,1185,3697000,32.05301596
Johor,1/1/2018,1189,3749400,31.71174055
Johor,1/1/2019,1191,3761200,31.66542593
Johor,1/1/2020,1191,4009700,29.7029703
Johor,1/1/2021,1192,4020000,29.65174129
Johor,1/1/2022,1194,4028300,29.64029491
Kedah,1/1/2017,748,2143900,34.88968702
Kedah,1/1/2018,749,2163000,34.62783172
Kedah,1/1/2019,750,2173700,34.50338133
Kedah,1/1/2020,751,2131400,35.23505677
Kedah,1/1/2021,752,2151700,34.94911001
Kedah,1/1/2022,753,2163100,34.81115066
Kelantan,1/1/2017,594,1829000,32.47676326
Kelantan,1/1/2018,596,1860500,32.03439936
Kelantan,1/1/2019,596,1883800,31.63817815
Kelantan,1/1/2020,596,1792500,33.24965132
Kelantan,1/1/2021,597,1812300,32.94156597
Kelantan,1/1/2022,597,1830600,32.61225828
Melaka,1/1/2017,315,913100,34.49786442
Melaka,1/1/2018,315,922400,34.15004337
Melaka,1/1/2019,316,928400,34.03705299
Melaka,1/1/2020,316,998400,31.65064103
Melaka,1/1/2021,316,1004500,31.45843703
Melaka,1/1/2022,317,1008600,31.42970454
Negeri Sembilan,1/1/2017,476,1114000,42.72890485
Negeri Sembilan,1/1/2018,476,1122900,42.39023956
Negeri Sembilan,1/1/2019,476,1126200,42.26602735
Negeri Sembilan,1/1/2020,478,1200000,39.83333333
Negeri Sembilan,1/1/2021,478,1204200,39.69440292
Negeri Sembilan,1/1/2022,480,1207900,39.73838894
Pahang,1/1/2017,738,1647000,44.80874317
Pahang,1/1/2018,739,1664700,44.39238301
Pahang,1/1/2019,741,1671400,44.33409118
Pahang,1/1/2020,742,1591300,46.6285427
Pahang,1/1/2021,742,1601500,46.33156416
Pahang,1/1/2022,742,1614300,45.96419501
Perak,1/1/2017,1101,2493200,44.16011551
Perak,1/1/2018,1103,2503500,44.05831835
Perak,1/1/2019,1103,2508800,43.96524235
Perak,1/1/2020,1103,2496000,44.19070513
Perak,1/1/2021,1103,2515800,43.84291279
Perak,1/1/2022,1106,2514400,43.98663697
Perlis,1/1/2017,105,252000,41.66666667
Perlis,1/1/2018,105,253500,41.42011834
Perlis,1/1/2019,105,254000,41.33858268
Perlis,1/1/2020,105,284900,36.85503686
Perlis,1/1/2021,105,287600,36.50904033
Perlis,1/1/2022,105,289800,36.23188406
Penang,1/1/2017,399,1744100,22.87712861
Penang,1/1/2018,400,1762800,22.69117313
Penang,1/1/2019,400,1768800,22.61420172
Penang,1/1/2020,400,1740400,22.98322225
Penang,1/1/2021,401,1740000,23.04597701
Penang,1/1/2022,399,1740900,22.91917973
Sabah,1/1/2017,1294,3855900,33.55896159
Sabah,1/1/2018,1297,3898400,33.27005951
Sabah,1/1/2019,1297,3904400,33.21893249
Sabah,1/1/2020,1298,3418800,37.96653797
Sabah,1/1/2021,1297,3412600,38.00621227
Sabah,1/1/2022,1297,3414900,37.98061437
Sarawak,1/1/2017,1455,2766300,52.59733218
Sarawak,1/1/2018,1458,2791700,52.22624207
Sarawak,1/1/2019,1459,2806000,51.99572345
Sarawak,1/1/2020,1459,2453700,59.46122183
Sarawak,1/1/2021,1459,2465600,59.17423751
Sarawak,1/1/2022,1459,2473500,58.98524358
Selangor,1/1/2017,940,6380700,14.73192596
Selangor,1/1/2018,943,6475000,14.56370656
Selangor,1/1/2019,943,6506100,14.49409016
Selangor,1/1/2020,944,6994400,13.49651149
Selangor,1/1/2021,945,7014700,13.47170941
Selangor,1/1/2022,944,7050300,13.38950116
Terengganu,1/1/2017,504,1208000,41.7218543
Terengganu,1/1/2018,505,1228300,41.11373443
Terengganu,1/1/2019,506,1244500,40.65889916
Terengganu,1/1/2020,506,1149400,44.02296851
Terengganu,1/1/2021,507,1170700,43.30742291
Terengganu,1/1/2022,508,1186600,42.8113939
Kuala Lumpur,1/1/2017,306,1793200,17.06446576
Kuala Lumpur,1/1/2018,300,1790000,16.75977654
Kuala Lumpur,1/1/2019,297,1782500,16.66199158
Kuala Lumpur,1/1/2020,297,1982100,14.98410776
Kuala Lumpur,1/1/2021,296,1964000,15.0712831
Kuala Lumpur,1/1/2022,294,1961200,14.99082195
Labuan,1/1/2017,27,97600,27.66393443
Labuan,1/1/2018,27,99000,27.27272727
Labuan,1/1/2019,27,99300,27.19033233
Labuan,1/1/2020,27,95100,28.39116719
Labuan,1/1/2021,27,96000,28.125
Labuan,1/1/2022,28,96900,28.89576883
Putrajaya,1/1/2017,25,87500,28.57142857
Putrajaya,1/1/2018,25,97200,25.72016461
Putrajaya,1/1/2019,25,103700,24.10800386
Putrajaya,1/1/2020,27,109200,24.72527473
Putrajaya,1/1/2021,27,115200,23.4375
Putrajaya,1/1/2022,27,117000,23.07692308
